,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,Year,State,Region,Total_Passengers,Fatality_pct,Injured_pct,Airplane_Damage,Airplane_Damage_quant
52330,20020403X00450,Accident,WAS02WA030,2002-03-28,"Ramstein, Germany",Germany,,,,,Fatal(1),Destroyed,Airplane,,Piper,PA-32R-301T,No,,,"Non-U.S., Non-Commercial",,Personal,,1.0,2.0,0.0,0.0,VMC,,Foreign,,2002,,,3.0,33.33333333333333,66.66666666666666,Destroyed,3
52350,20020404X00458,Accident,WAS02WA031,2002-04-01,"Newport, United Kingdom",United Kingdom,,,,,Fatal(2),Destroyed,Airplane,,Piper,PA-38-112,No,,,"Non-U.S., Non-Commercial",,Personal,,2.0,0.0,0.0,0.0,VMC,,Foreign,,2002,,,2.0,100.0,0.0,Destroyed,3
52361,20020415X00514,Accident,IAD02LA040,2002-04-03,"MOUNT HOLLY, NJ",United States,39.942777,-74.845555,VAY,SOUTH JERSEY RGNL,Non-Fatal,Substantial,Airplane,N5079J,Cessna,T310R,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,1.0,0.0,VMC,Go-around,Probable Cause,11-02-2015,2002,NJ,NE,2.0,0.0,100.0,Substantial,2
52687,20020607X00829,Accident,FTW02LA168,2002-05-31,"CONWAY, AR",United States,35.080556,-92.424723,M03,Dennis Cantrell Field,Non-Fatal,Substantial,Airplane,N94769,Ercoupe,ERCO-415-E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,21-06-2011,2002,AR,SE,2.0,0.0,0.0,Substantial,2
52974,20020716X01137,Accident,CHI02CA182,2002-07-04,"MONROE, MI",United States,41.94,-83.434722,TTF,CUSTER,Non-Fatal,Substantial,Airplane,N3545R,Beech,A-23-23,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,13-05-2003,2002,MI,NE,1.0,0.0,0.0,Substantial,2
53002,20020715X01130,Accident,CHI02CA184,2002-07-07,"LOWELL, MI",United States,42.953889,-85.343889,24C,Lowell City,Non-Fatal,Substantial,Airplane,N52WP,Piper,PA-34,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-12-2003,2002,MI,NE,1.0,0.0,0.0,Substantial,2
53040,20020716X01141,Accident,CHI02CA191,2002-07-13,"MECOSTA, MI",United States,43.629167,-85.2625,MI,Mecosta,Non-Fatal,Substantial,Airplane,N6912S,Cessna,150H,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,13-05-2003,2002,MI,NE,2.0,0.0,0.0,Substantial,2
53096,20020731X01275,Accident,CHI02CA214,2002-07-20,"LARETTO, MN",United States,45.081111,-93.668334,MN66,INGLESIDE,Non-Fatal,Substantial,Airplane,N6321B,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,13-05-2003,2002,MN,NE,3.0,0.0,0.0,Substantial,2
53105,20020725X01215,Accident,FTW02WA213,2002-07-21,"Guachochi, Mexico",Mexico,26.75,-107.5,,,Fatal(6),Destroyed,Airplane,,Cessna,206,No,,,"Non-U.S., Non-Commercial",,Personal,,6.0,0.0,0.0,0.0,VMC,,Foreign,,2002,,,6.0,100.0,0.0,Destroyed,3
53126,20020725X01214,Accident,FTW02WA215,2002-07-24,"Urrao, Colombia",Colombia,6.333333,-76.166667,,,Fatal(3),Destroyed,Airplane,,Cessna,T210M,No,,,"Non-U.S., Non-Commercial",,Personal,,3.0,3.0,0.0,0.0,VMC,,Foreign,,2002,,,6.0,50.0,50.0,Destroyed,3
53316,20020828X01475,Accident,CHI02CA253,2002-08-17,"OHIAWA, NE",United States,40.301111,-96.803889,,,Non-Fatal,Substantial,Airplane,N8851V,Bellanca,BL-17-30A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,20-09-2002,2002,NE,NW,1.0,0.0,0.0,Substantial,2
53453,20020925X05215,Accident,CHI02CA279,2002-09-06,"Brookfield, WI",United States,43.0875,-88.177778,,,Non-Fatal,,Airplane,N2601N,Cessna,120,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,1.0,VMC,Taxi,Probable Cause,25-11-2003,2002,WI,NE,2.0,0.0,50.0,No damage,0
53521,20021018X05339,Accident,CHI02CA287,2002-09-17,"DODGE CENTER, MN",United States,44.018056,-92.831389,,,Non-Fatal,Substantial,Airplane,N2870S,Cessna,150G,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,13-05-2003,2002,MN,NE,1.0,0.0,0.0,Substantial,2
53534,20021023X05373,Accident,MIA02CA177,2002-09-21,"CHERRY POINT, NC",United States,34.9025,-76.880834,MKT,Cherry Point MCAS/Cunningham,Non-Fatal,Substantial,Airplane,N6QR,Aviat Aircraft Inc,A-1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,16-01-2003,2002,NC,SE,2.0,0.0,0.0,Substantial,2
53591,20021004X05280,Accident,NYC02FA200,2002-09-30,"West Creek, NJ",United States,39.665278,-74.308056,31E,Eagles Nest Airport,Fatal(1),Destroyed,Airplane,N5556Q,Mooney,M20E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,13-05-2003,2002,NJ,NE,1.0,100.0,0.0,Destroyed,3
53612,20030919X01561,Accident,CHI03CA004,2002-10-05,"OSLO, MN",United States,48.2,-97.133333,,Cenex Co. airstrip (private),Non-Fatal,Substantial,Airplane,N3345Y,Cessna,182E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-11-2003,2002,MN,NE,2.0,0.0,0.0,Substantial,2
53631,20021022X05359,Accident,FTW03WA012,2002-10-09,"Bogota, Colombia",Colombia,,,,,Fatal(2),Destroyed,Airplane,,Bellanca,17-30,No,,,"Non-U.S., Non-Commercial",,Personal,,2.0,0.0,0.0,0.0,VMC,,Foreign,,2002,,,2.0,100.0,0.0,Destroyed,3
53686,20021024X05379,Accident,ANC03CA004,2002-10-20,"WASILLA, AK",United States,61.571389,-149.540555,PAWS,WASILLA,Non-Fatal,Substantial,Airplane,N1302D,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,01-04-2003,2002,AK,NW,1.0,0.0,0.0,Substantial,2
53713,20021030X05407,Accident,ANC03CA006,2002-10-25,"ANCHORAGE, AK",United States,61.186944,-149.965278,Z41,Lake Hood Strip,Non-Fatal,Substantial,Airplane,N5244D,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,29-04-2003,2002,AK,NW,1.0,0.0,0.0,Substantial,2
53722,20021106X05437,Accident,FTW03WA021,2002-10-28,"CARABALLEDA, Venezuela",Venezuela,10.8375,-66.506111,,,Fatal(4),Destroyed,Airplane,,Piper,PA-34-200T,No,,,"Non-U.S., Non-Commercial",,Personal,,4.0,0.0,0.0,0.0,IMC,,Foreign,,2002,,,4.0,100.0,0.0,Destroyed,3
53731,20021105X05434,Accident,ANC03CA008,2002-10-29,"Palmer, AK",United States,61.416667,-148.55,,,Non-Fatal,Destroyed,Airplane,N878A,Piper,PA-22,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,25-02-2003,2002,AK,NW,3.0,0.0,0.0,Destroyed,3
53756,20021106X05438,Accident,FTW03WA032,2002-11-03,"CAMBITA, Dominican Republic",Dominican Republic,10.8375,-69.919445,,,Fatal(1),Destroyed,Airplane,N74946,Piper,PA-31-350,No,,,Part 91: General Aviation,,Personal,,1.0,2.0,0.0,0.0,VMC,,Foreign,,2002,,,3.0,33.33333333333333,66.66666666666666,Destroyed,3
53795,20021121X05503,Accident,FTW03WA042,2002-11-11,"Polvaredas, Argentina",Argentina,,,,,Fatal(2),Destroyed,Airplane,,Piper,PA-28-236,No,,,"Non-U.S., Non-Commercial",,Personal,,2.0,0.0,0.0,0.0,IMC,,Foreign,,2002,,,2.0,100.0,0.0,Destroyed,3
53811,20021121X05499,Accident,FTW03WA043,2002-11-15,"Gonzaga, Mexico",Mexico,29.75,-114.5,,,Fatal(2),Destroyed,Airplane,N70685,Cessna,182M,No,,,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,VMC,,Foreign,,2002,,,2.0,100.0,0.0,Destroyed,3
53815,20021122X05510,Accident,CHI03CA022,2002-11-17,"ALBION, MI",United States,42.266667,-84.716667,---,,Non-Fatal,Substantial,Airplane,N5066M,Taylorcraft,BC12-D,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,13-05-2003,2002,MI,NE,2.0,0.0,50.0,Substantial,2
53912,20030106X00018,Incident,NYC03IA030,2002-12-13,"MANASSAS, VA",United States,38.721389,-77.515556,HEF,Manassas Region,Incident,Substantial,Airplane,N141AJ,Piper,PA-601P,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,IMC,Takeoff,Probable Cause,05-02-2013,2002,VA,NE,1.0,0.0,0.0,Substantial,2
53961,20030106X00019,Accident,MIA03CA037,2002-12-26,"TALLAHASSEE, FL",United States,30.396389,-84.333611,TLH,TALLAHASSEE REGIONAL,Non-Fatal,Substantial,Airplane,N752CF,Piper,PA-30,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Standing,Probable Cause,18-04-2003,2002,FL,SE,1.0,0.0,0.0,Substantial,2
53990,20030110X00042,Accident,FTW03WA076,2003-01-03,"Santo Domingo, Dominican Republic",Dominican Republic,18.670834,-70.172223,,,Fatal(1),Destroyed,Airplane,,Beech,BE-60,No,,,"Non-U.S., Non-Commercial",,Personal,,1.0,1.0,0.0,0.0,VMC,,Foreign,,2003,,,2.0,50.0,50.0,Destroyed,3
54168,20090512X15548,Accident,ENG03RA010,2003-02-13,"Caqueta Province, Colombia",Colombia,,,,,Non-Fatal,Destroyed,Airplane,N1116G,Cessna,208,No,1.0,Turbo Prop,Public Use,,Public Aircraft - Federal,,0.0,0.0,3.0,0.0,VMC,,Foreign,10-06-2009,2003,,,3.0,0.0,100.0,Destroyed,3
54360,20030407X00444,Accident,MIA03CA091,2003-03-27,"JAY, FL",United States,30.840555,-87.105833,FD82,Porter STOLport,Non-Fatal,Substantial,Airplane,N366X,Maule,M-5-235C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-11-2003,2003,FL,SE,1.0,0.0,0.0,Substantial,2
54384,20030408X00458,Accident,MIA03CA083,2003-03-31,"LAKELAND, FL",United States,27.988889,-82.018611,LAL,LAKELAND LINDER REGIONAL,Non-Fatal,Substantial,Airplane,N4413C,Cessna,190,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,30-09-2003,2003,FL,SE,4.0,0.0,0.0,Substantial,2
54396,20030407X00443,Incident,ATL03IA073,2003-04-01,"Eufaula, AL",United States,31.951111,-85.128889,EUF,Weedon Field,Incident,Minor,Airplane,N696SP,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,05-02-2013,2003,AL,SE,3.0,0.0,0.0,Minor,1
54566,20030513X00648,Accident,MIA03CA103,2003-05-03,"MADISON, MS",United States,32.441666,-90.100833,,,Non-Fatal,Substantial,Airplane,N175W,Piper,PA-22-150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,23-07-2003,2003,MS,SE,1.0,0.0,0.0,Substantial,2
54699,20030605X00785,Accident,MIA03CA113,2003-05-27,"PLANT CITY, FL",United States,28.000278,-82.164167,KPCM,Plant City Municipal Airport,Non-Fatal,Substantial,Airplane,N76494,Cessna,120,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,30-12-2003,2003,FL,SE,1.0,0.0,100.0,Substantial,2
54716,20030610X00833,Accident,MIA03CA117,2003-05-30,"FOREST, MS",United States,32.353333,-89.488611,2M4,G. V. MONTGOMERY,Non-Fatal,Substantial,Airplane,N258P,Beech,95-B55,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-11-2003,2003,MS,SE,2.0,0.0,0.0,Substantial,2
54821,20030711X01071,Accident,LAX03CA203,2003-06-12,"LINCOLN, CA",United States,38.909167,-121.351111,LHM,Lincoln Regional Airport,Non-Fatal,Substantial,Airplane,N1156N,Mooney,M20J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-09-2003,2003,CA,SW,1.0,0.0,0.0,Substantial,2
54831,20030819X01351,Accident,IAD03CA057,2003-06-13,"SUTTON, WV",United States,38.686944,-80.651667,48I,BRAXON COUNTY,Non-Fatal,Substantial,Airplane,N55175,Boeing,A75N1(PT17),No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,30-12-2003,2003,WV,NE,2.0,0.0,100.0,Substantial,2
54832,20030925X01598,Accident,DEN03LA152,2003-06-13,"SANTA FE, NM",United States,35.616945,-106.089166,SAF,Santa Fe Municipal Airport,Non-Fatal,Substantial,Airplane,N211EZ,Piper,PA-46-500TP,No,1.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Descent,Probable Cause,19-03-2012,2003,NM,SW,3.0,0.0,0.0,Substantial,2
54843,20030701X00995,Accident,SEA03CA102,2003-06-14,"SILVER CITY, MT",United States,46.749166,-112.180278,MT18,SILVER CITY,Non-Fatal,Substantial,Airplane,N82946,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Go-around,Probable Cause,30-09-2003,2003,MT,NW,2.0,0.0,0.0,Substantial,2
54876,20030625X00951,Accident,MIA03FA124B,2003-06-17,"Deerfield Beach, FL",United States,26.3,-80.05,,,Fatal(5),Destroyed,Airplane,N759XA,Cessna,182Q,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,5.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,21-04-2016,2003,FL,SE,5.0,100.0,0.0,Destroyed,3
54877,20030625X00951,Accident,MIA03FA124A,2003-06-17,"Deerfield Beach, FL",United States,26.3,-80.05,,,Fatal(5),Destroyed,Airplane,N4903F,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,5.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,21-04-2016,2003,FL,SE,5.0,100.0,0.0,Destroyed,3
54878,20030707X01026,Accident,MIA03CA125,2003-06-18,"MELBOURNE, FL",United States,28.109722,-80.737777,MLB,MELBOURNE REGIONAL,Non-Fatal,Substantial,Airplane,N53352,Cessna,172S,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-09-2003,2003,FL,SE,1.0,0.0,0.0,Substantial,2
54884,20030731X01243,Accident,SEA03CA112,2003-06-19,"WOODLAND, WA",United States,45.901667,-122.743055,WA71,WOODLAND STATE,Non-Fatal,Substantial,Airplane,N2279Y,Cessna,177,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,25-11-2003,2003,WA,NW,2.0,0.0,0.0,Substantial,2
54899,20030819X01360,Accident,IAD03CA059,2003-06-21,"MANSFIELD, OH",United States,40.824445,-82.516389,,,Non-Fatal,Substantial,Airplane,N9298D,Piper,Saratoga II TC PA32-,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,30-12-2003,2003,OH,NE,3.0,0.0,0.0,Substantial,2
54914,20030627X00966,Accident,ATL03FA111,2003-06-22,"ROCKVALE, TN",United States,35.766945,-86.558056,TN68,Gibson Stolport,Fatal(3),Substantial,Airplane,N555MR,Maule,M-5-235C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,3.0,0.0,0.0,0.0,VMC,Go-around,Probable Cause,17-06-2009,2003,TN,SE,3.0,100.0,0.0,Substantial,2
54921,20030902X01435,Accident,FTW03WA194,2003-06-23,"PALENCIA, GUATEMALA",Guatemala,,,,,Non-Fatal,Substantial,Airplane,,Cessna,TU-206F,No,,,"Non-U.S., Non-Commercial",,Personal,,0.0,0.0,3.0,0.0,VMC,,Foreign,,2003,,,3.0,0.0,100.0,Substantial,2
54946,20030731X01244,Accident,SEA03CA119,2003-06-27,"GOODING, ID",United States,42.916945,-114.765,GNG,GOODING MUNI,Non-Fatal,Substantial,Airplane,N2825X,Cessna,P206,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,25-11-2003,2003,ID,NW,4.0,0.0,0.0,Substantial,2
54979,20030722X01174,Accident,LAX03CA219,2003-06-30,"ST. JOHNS, AZ",United States,34.816667,-109.4,SJN,St. Johns Industrial Airport,Non-Fatal,Substantial,Airplane,N6216M,Stinson,108-3,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-09-2003,2003,AZ,SW,1.0,0.0,0.0,Substantial,2
54999,20030805X01269,Accident,NYC03CA149,2003-07-03,"BLOCK ISLAND, RI",United States,41.166667,-71.567778,,,Non-Fatal,Substantial,Airplane,N540Q,Beech,BE36,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,IMC,Landing,Probable Cause,25-11-2003,2003,RI,NE,4.0,0.0,0.0,Substantial,2
55006,20030714X01095,Accident,SEA03FA124,2003-07-04,"EAST WENATCHEE, WA",United States,47.453333,-120.273056,,,Fatal(1),Substantial,Airplane,N279WP,Beech,A36TC,No,1.0,Turbo Prop,Part 91: General Aviation,,Personal,,1.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,01-07-2009,2003,WA,NW,3.0,33.33333333333333,66.66666666666666,Substantial,2
55029,20031107X01872,Accident,NYC03CA152,2003-07-06,"EAST BRADY, PA",United States,41.166667,-80.133333,NONE,,Non-Fatal,Substantial,Airplane,N70LB,Maule,MX-7-235,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,02-03-2004,2003,PA,NE,1.0,0.0,100.0,Substantial,2
55077,20030731X01238,Accident,NYC03CA156,2003-07-12,"UTICA, OH",United States,40.244166,-82.551389,4I3,Knox County Airport,Non-Fatal,Substantial,Airplane,N33WL,Mooney,M20C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,24-01-2005,2003,OH,NE,1.0,0.0,100.0,Substantial,2
55080,20030811X01304,Accident,ANC03CA077,2003-07-12,"TALKEETNA, AK",United States,61.756944,-150.052778,,,Non-Fatal,Substantial,Airplane,N83272,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-11-2003,2003,AK,NW,1.0,0.0,0.0,Substantial,2
55100,20030929X01609,Accident,SEA03CA138,2003-07-16,"SUNRIVER, OR",United States,43.868889,-121.455833,S21,SUNRIVER,Non-Fatal,Substantial,Airplane,N299KP,Beech,F90,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-11-2003,2003,OR,NW,1.0,0.0,0.0,Substantial,2
